id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20452932,Walker's Paradise,63273507,Laila,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91301,-77.01711,Entire home/apt,105,1,123,2019-06-19,5.52,2,32
20456937,MUSE REFUGE k-SUITE,131990534,Nii,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92954,-77.02536,Private room,85,2,9,2017-11-12,0.40,3,11
20461139,"DuPont Lovely Home - parking, decks (new)",17633,Charlotte,,"Dupont Circle, Connecticut Avenue/K Street",38.90658,-77.04646,Entire home/apt,349,3,15,2019-06-24,0.74,41,240
20461239,DuPont Circle Apartment - parking (new),17633,Charlotte,,"Dupont Circle, Connecticut Avenue/K Street",38.90785,-77.04653,Entire home/apt,150,3,10,2018-12-14,0.71,41,194
20463668,Your Place in DC,140579095,Tony,,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.86046,-76.9526,Entire home/apt,69,2,16,2019-07-07,4.17,1,80
20465057,For Solo Adventurers and First-Time Visitors to DC,293350,Courtney,,Historic Anacostia,38.86438,-76.98067,Private room,60,2,12,2019-07-04,0.55,1,120
20469824,"Hidden gem: 2 BR guest unit, steps from metro",92210914,Meg,,"Brookland, Brentwood, Langdon",38.92302,-76.99013,Entire home/apt,121,2,52,2019-07-14,3.19,1,111
20478088,Lovely 2BR house in the heart of Capitol Hill,58390546,Jesse,,"Union Station, Stanton Park, Kingman Park",38.89427,-76.99369,Entire home/apt,229,2,89,2019-06-30,3.88,3,77
20483028,Not Available,36082115,Jay,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91919,-77.03042,Entire home/apt,100,365,0,,,1,0
20498055,Cue the Capitol ~ Sleeps 6 in Capitol Hill with Parking Permit!,46630199,Home Sweet City,,"Capitol Hill, Lincoln Park",38.89092,-76.98829,Entire home/apt,135,2,70,2019-06-27,3.08,59,157
20498322,Renovated Row Home in Hill East with Parking,71837822,Kathleen,,"Union Station, Stanton Park, Kingman Park",38.89667,-76.97719,Private room,91,2,3,2018-06-30,0.13,2,0
20500529,"Spacious Washington 1BR, steps from the park",46590989,Margot,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93443,-77.04516,Entire home/apt,99,2,16,2018-05-23,0.85,1,0
20503212,Perfect City Living near the White House,738459,Natasha,,"West End, Foggy Bottom, GWU",38.897,-77.04806,Entire home/apt,80,90,1,2019-01-11,0.16,5,224
20505309,Beautiful DC Townhouse for Rent,1985171,Nikki,,"Woodridge, Fort Lincoln, Gateway",38.92265,-76.9596,Entire home/apt,150,2,2,2017-10-22,0.09,1,147
20505917,"Private  bedroom 2 in DC, very close to the metro.",126171361,Margarita,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96201,-77.00247,Private room,40,2,56,2019-02-16,2.50,2,163
20515819,Spacious private master bedroom near D.C. Downtown,146175399,O'Neil,,"Congress Heights, Bellevue, Washington Highlands",38.84568,-76.99923,Private room,49,1,173,2019-06-27,7.57,3,167
20520153,Historic Capitol Hill Escape,33288480,Burden,,"Capitol Hill, Lincoln Park",38.88938,-76.99733,Entire home/apt,119,3,51,2019-07-13,2.29,1,52
20520549,Newly-renovated Private Basement Apartment,146175399,O'Neil,,"Congress Heights, Bellevue, Washington Highlands",38.84575,-77.00024,Private room,66,1,164,2019-07-08,7.08,3,174
20521864,Georgetown Apartment: private entrance & parking,146512013,Mihriye,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91097,-77.08446,Entire home/apt,90,3,67,2019-06-30,2.94,1,2
20534938,Private room Capitol Hill's Cozy Bunks (sleep 4),146624030,Sireenat,,"Capitol Hill, Lincoln Park",38.87851,-76.98896,Private room,150,1,20,2019-05-15,0.91,44,360
20535352,Perfect DC retreat in beautiful Bloomingdale!,16869466,Davida,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92173,-77.01071,Entire home/apt,95,2,32,2019-07-13,1.45,1,169
